,country,lat,lon,internet_users,population,population_rank,percentage,users_rank
73,Cuba,21.521757,-77.78116700000001,5638956,11484636,77,0.491,125
74,Cameroon,7.369722,12.354722,5580465,24053727,78,0.23199999999999998,170
75,Denmark,56.26392,9.501785,5567278,5733551,79,0.971,9
76,Cambodia,12.565679,104.990963,5441827,16005373,80,0.34,148
77,Norway,60.472024,8.468946,5120225,5305383,81,0.9651000000000001,11
78,Bolivia,-16.290154,-63.588653,4843916,11051600,82,0.43829999999999997,134
79,Finland,61.92411,25.748151,4831170,5523231,83,0.8747,29
80,Singapore,1.352083,103.819836,4821119,5708844,84,0.8445,35
81,Zambia,-13.133897,27.849332,4760715,17094130,85,0.2785,160
82,Lebanon,33.854721000000005,35.862285,4755187,6082357,86,0.7818,57
83,Senegal,14.497401000000002,-14.452361999999999,4698108,15850567,87,0.2964,158
84,Bulgaria,42.733883,25.48583,4492326,7084571,88,0.6341,94
85,Zimbabwe,-19.015438,29.154857,4472992,16529904,89,0.2706,163
86,Slovakia,48.669026,19.699023999999998,4446926,5447662,90,0.8162999999999999,42
87,New Zealand,-40.900557,174.88597099999998,4273353,4705818,91,0.9081,24
88,Angola,-11.202691999999999,17.873887,4271053,29784193,92,0.1434,186
89,Paraguay,-23.442503,-58.44383199999999,4160340,6811297,93,0.6108,99
90,Afghanistan,33.93911,67.709953,4068194,35530081,94,0.11449999999999999,194
91,Kuwait,29.311659999999996,47.481766,4053797,4136528,95,0.98,5
92,Ireland,53.41291,-8.243889999999999,4024552,4761657,96,0.8452,34
93,Oman,21.512583,55.923255000000005,3717818,4636262,97,0.8019,51
94,Costa Rica,9.748917,-83.753428,3511549,4905769,98,0.7158,74
95,Moldova,47.411631,28.369884999999996,3083783,4051212,100,0.7612000000000001,63
96,Burkina Faso,12.238333,-1.561593,3047909,19193382,101,0.1588,183
97,Honduras,15.199998999999998,-86.241905,2977793,9265067,102,0.3214,151
98,Croatia,45.1,15.2,2811056,4189353,103,0.6709999999999999,84
99,Puerto Rico,18.220833,-66.590149,2664928,3663131,104,0.7275,71
100,Rwanda,-1.940278,29.873888,2657770,12208407,105,0.2177,172
101,Malawi,-13.254307999999998,34.301525,2566126,18622104,106,0.1378,188
102,Qatar,25.354826,51.183884,2532059,2639211,107,0.9594,13
103,Madagascar,-18.766947000000002,46.869107,2505948,25570895,108,0.098,198
104,Bosnia and Herzegovina,43.915886,17.679076000000002,2437026,3507017,109,0.6949,80
105,Panama,8.537981,-80.782127,2371852,4098587,110,0.5787,106
106,Georgia,42.315407,43.356891999999995,2366406,3912061,111,0.6049,100
107,Uruguay,-32.522779,-55.765834999999996,2360269,3456750,112,0.6828,82
108,Mali,17.570692,-3.9961660000000006,2358540,18541980,113,0.1272,190
109,Kyrgyzstan,41.20438,74.766098,2309235,6045117,114,0.382,139
110,Lithuania,55.169438,23.881275,2243448,2890297,115,0.7762,58
111,Niger,17.607789,8.081666,2194985,21477348,116,0.10220000000000001,197
112,Albania,41.153332,20.168331,2105339,2930187,117,0.7184999999999999,73
113,Armenia,40.069099,45.038189,2043110,2930450,118,0.6972,78
114,El Salvador,13.794185,-88.89653,1993079,6377853,119,0.3125,152
115,Tajikistan,38.861034000000004,71.276093,1959127,8921343,120,0.21960000000000002,171
116,Laos,19.856270000000002,102.495496,1749517,6858160,121,0.2551,167
117,Nicaragua,12.865416,-85.207229,1732218,6217581,122,0.2786,159
118,Slovenia,46.151241,14.995463,1640893,2079976,123,0.7889,55
119,Latvia,56.879635,24.603189,1585471,1949670,125,0.8131999999999999,45
120,Benin,9.30769,2.315834,1578008,11175692,126,0.1412,187
121,Guinea,9.945587,-9.696645,1449758,12717176,127,0.114,195
122,Bahrain,25.930414000000003,50.637772,1431090,1492584,128,0.9588,14
123,Jamaica,18.109581,-77.297508,1409888,2890299,129,0.4878,127
124,Libya,26.3351,17.228331,1387116,6374616,130,0.21760000000000002,173
125,Haiti,18.971187,-72.28521500000001,1353986,10981229,131,0.1233,192
126,Turkmenistan,38.969719,59.556278000000006,1223591,5758075,132,0.2125,175
127,Estonia,58.595271999999994,25.013607,1153786,1309632,133,0.8809999999999999,26
128,Trinidad and Tobago,10.691803,-61.222503,1058744,1369125,134,0.7733,59
129,Gabon,-0.803689,11.609444,1019049,2025137,135,0.5032,120
130,Sierra Leone,8.460555000000001,-11.779889,1000575,7557212,137,0.1324,189
131,Chad,15.454166,18.732207,968500,14899994,138,0.065,204
132,Togo,8.619543,0.824782,963795,7797694,139,0.12359999999999999,191
133,Cyprus,35.126413,33.429859,952369,1179551,140,0.8073999999999999,47
134,Botswana,-22.328474,24.684866,948977,2291661,141,0.41409999999999997,135
135,Namibia,-22.957639999999998,18.49041,933450,2533794,142,0.36840000000000006,143
136,Papua New Guinea,-6.314993,143.95555,924955,8251162,143,0.1121,196
137,Mauritania,21.00789,-10.940835,919398,4420184,144,0.20800000000000002,176
138,Mongolia,46.862496,103.84665600000001,729236,3075647,145,0.2371,169
139,Mauritius,-20.348404000000002,57.552152,702911,1265138,146,0.5556,113
140,Lesotho,-29.609988,28.233608,665312,2233339,147,0.2979,157
141,Burundi,-3.3730559999999996,29.918885999999997,607311,10864245,148,0.0559,205
142,Luxembourg,49.815273,6.129583,570794,583455,149,0.9783,6
143,Djibouti,11.825138,42.590275,532849,956985,150,0.5568,112
144,Macau,22.198745000000002,113.543873,517789,622567,151,0.8317,37
145,Fiji,-16.578193,179.414413,452479,905502,153,0.4997,121
146,Montenegro,42.708678000000006,19.37439,448260,628960,154,0.7127,75
147,Swaziland,-26.522503000000004,31.465866,414278,1367254,156,0.303,155
148,Brunei,4.535277,114.72766899999999,406705,428697,157,0.9487000000000001,16
149,Bhutan,27.514162,90.433601,388541,807610,158,0.48109999999999997,129
150,Liberia,6.4280550000000005,-9.429499,377607,4731906,159,0.07980000000000001,203
151,Malta,35.937496,14.375416,344970,430835,161,0.8007,53
152,Equatorial Guinea,1.6508009999999997,10.267895,332642,1267689,163,0.26239999999999997,165
153,Iceland,64.96305100000001,-19.020835,329196,335025,164,0.9826,3
155,Somalia,5.152149,46.199616,294851,14742523,166,0.02,208
156,Guyana,4.860416000000001,-58.93018000000001,290375,777859,167,0.37329999999999997,142
157,Suriname,3.9193050000000005,-56.02778299999999,275785,563402,168,0.48950000000000005,126
158,Maldives,3.202778,73.22068,275717,436330,169,0.6319,95
159,Barbados,13.193887,-59.543198,233604,285719,170,0.8176000000000001,41
160,New Caledonia,-20.904304999999997,165.618042,226557,276255,171,0.8201,40
161,French Polynesia,-17.679742,-149.40684299999998,205746,283007,172,0.727,72
162,Central African Republic,6.611111,20.939444,202204,4659080,173,0.0434,206
163,Belize,17.189877,-88.49765,176400,374681,174,0.4708,131
164,Guam,13.444304,144.793731,132221,164229,175,0.8051,49
165,Aruba,12.52111,-69.968338,102285,105264,176,0.9717,8
166,Saint Lucia,13.909444,-60.97889300000001,90889,178844,177,0.5082,119
167,Antigua and Barbuda,17.060816,-61.796428000000006,77529,102012,178,0.76,65
168,Andorra,42.546245,1.6015540000000001,76095,76965,179,0.9887,1
169,Guinea-Bissau,11.803749,-15.180413,73148,1861283,180,0.0393,207
170,Solomon Islands,-9.645710000000001,160.156194,72872,611343,181,0.1192,193
171,Saint Vincent and the Grenadines,12.984305,-61.287228000000006,72048,109897,182,0.6556000000000001,86
172,Vanuatu,-15.376706,166.959158,71050,276244,183,0.2572,166
173,Comoros,-11.875001,43.872219,69020,813912,184,0.0848,201
174,U.S. Virgin Islands,18.335765,-64.896335,67535,104901,185,0.6437999999999999,90
175,Eritrea,15.179383999999999,39.782334000000006,66402,5068831,186,0.0131,209
176,Samoa,-13.759029,-172.10462900000002,66023,196440,187,0.3361,149
177,Grenada,12.262775999999999,-61.604170999999994,63692,107825,188,0.5907,104
178,Bermuda,32.321384,-64.75737,60349,61349,190,0.9837,2
179,Seychelles,-4.679574,55.491977,55677,94737,191,0.5877,105
180,Dominica,15.414999,-61.370976,51467,73925,192,0.6962,79
181,Cayman Islands,19.513469,-80.566956,49906,61559,193,0.8107,46
182,Faroe Islands,61.892635,-6.9118059999999995,48097,49290,194,0.9758,7
183,Saint Kitts and Nevis,17.357822,-62.782998,44669,55345,195,0.8070999999999999,48
184,Tonga,-21.178986,-175.198242,44558,108020,196,0.4125,136
185,Greenland,71.706936,-42.604303,39242,56480,197,0.6948000000000001,81
186,Jersey,49.214439,-2.13125,38958,165314,198,0.4103,-
187,Monaco,43.750298,7.412841,37553,38695,199,0.9704999999999999,10
188,Liechtenstein,47.166000000000004,9.555373,37201,37922,201,0.981,4
189,Gibraltar,36.137741,-5.345374,32494,34571,202,0.9444,-
190,Marshall Islands,7.131474000000001,171.184478,20560,53127,203,0.387,138
191,San Marino,43.94236,12.457777,20100,33400,204,0.6018,102
192,Kiribati,-3.3704169999999998,-168.734039,16971,116398,205,0.1458,185
193,British Virgin Islands,18.420695000000002,-64.63996800000001,14456,31196,206,0.376,141
194,Anguilla,18.220554,-63.068615,12043,14909,207,0.8157,44
195,Nauru,-0.522778,166.931503,6475,11359,208,0.57,110
196,Tuvalu,-7.109535,177.64933,5520,11192,209,0.4932,124
197,Saint Helena,-24.143473999999998,-10.030696,2906,4534,210,0.376,-
198,Montserrat,16.742498,-62.187366000000004,2833,5177,212,0.5455,115
199,Wallis and Futuna,-13.768752,-177.156097,1383,11773,213,0.0895,-
200,Niue,-19.054445,-169.867233,1034,1618,214,0.8690000000000001,30
